,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8
48,4800,0.6096256684491979,,0.8333333333333334,0.9,,0.6666666666666666,,0.2,0.2727272727272727
49,4900,0.6376811594202898,,0.8181818181818182,0.9090909090909091,,0.7,,,0.0
50,5000,0.6296296296296297,1.0,0.8333333333333334,0.8461538461538461,0.5833333333333334,0.6923076923076923,0.75,,0.08333333333333333
51,5100,0.6493506493506493,0.9090909090909091,0.7,1.0,0.8333333333333334,0.8461538461538461,0.7272727272727273,0.12121212121212122,0.2
52,5200,0.6417910447761194,0.8333333333333334,0.7777777777777778,0.8461538461538461,0.8181818181818182,0.8,0.5555555555555556,0.27586206896551724,0.2727272727272727
53,5300,0.655367231638418,0.8181818181818182,0.75,0.9,0.8333333333333334,0.6666666666666666,0.6666666666666666,,0.18181818181818182
54,5400,0.6620689655172414,0.9,,,0.8,0.75,0.75,,
55,5500,0.6390977443609023,0.75,,,0.625,0.7,0.6363636363636364,0.18181818181818182,
56,5600,0.6195652173913043,0.6363636363636364,0.9090909090909091,1.0,0.75,,0.75,0.1111111111111111,0.09090909090909091
57,5700,0.6598639455782312,0.8,0.9090909090909091,0.8461538461538461,0.8,,0.7272727272727273,0.4166666666666667,0.18181818181818182
58,5800,0.6212121212121212,,0.75,0.9230769230769231,,0.75,0.6363636363636364,0.1,0.15384615384615385
59,5900,0.632183908045977,,0.7272727272727273,0.8888888888888888,,0.6666666666666666,0.6363636363636364,0.2,0.0
60,6000,0.6257309941520468,0.8461538461538461,0.8461538461538461,0.8181818181818182,0.75,0.7142857142857143,,0.25,0.09090909090909091
61,6100,0.6530612244897959,0.75,0.9166666666666666,0.9,,0.6666666666666666,,0.25,0.1111111111111111
62,6200,0.6381578947368421,0.7777777777777778,0.875,,,0.6666666666666666,0.6428571428571429,,
63,6300,0.6481481481481481,0.6,,,0.7777777777777778,0.6153846153846154,0.5714285714285714,,
64,6400,0.49411764705882355,0.7,,,0.8,,,0.26666666666666666,0.18181818181818182
65,6500,0.6097560975609756,0.9,0.6153846153846154,,0.75,,,0.21428571428571427,0.18181818181818182
66,6600,0.6082949308755761,0.75,0.5454545454545454,,0.8181818181818182,0.7272727272727273,0.6363636363636364,0.2222222222222222,0.07692307692307693
67,6700,0.6620689655172414,0.8461538461538461,0.7777777777777778,,,0.7777777777777778,0.8333333333333334,0.25,0.18181818181818182
68,6800,0.6338028169014085,0.8,0.6363636363636364,0.8181818181818182,,,0.6153846153846154,0.2222222222222222,0.45454545454545453
69,6900,0.6142857142857143,0.7777777777777778,0.8333333333333334,0.8,0.6,,0.5,0.25,
70,7000,0.5671641791044776,,0.6666666666666666,0.9090909090909091,0.6923076923076923,0.75,0.75,,
71,7100,0.6264367816091954,,0.7777777777777778,,,0.8888888888888888,0.4444444444444444,,0.25
72,7200,0.6111111111111112,0.75,0.6666666666666666,,,0.7,0.625,0.4166666666666667,0.18181818181818182
73,7300,0.6287878787878788,0.8888888888888888,,0.9090909090909091,0.5833333333333334,,,0.2,0.1
74,7400,0.4727272727272727,0.5294117647058824,,0.7272727272727273,0.7222222222222222,,,0.0625,
75,7500,0.47668393782383417,,0.4117647058823529,0.8888888888888888,,0.5555555555555556,0.7857142857142857,0.1111111111111111,
76,7600,0.6212121212121212,,,,,0.75,,,0.25
77,7700,0.6166666666666667,0.7333333333333333,,,0.8181818181818182,0.7777777777777778,,,0.23076923076923078
78,7800,0.625,0.7272727272727273,0.8461538461538461,0.8333333333333334,0.75,0.375,0.8333333333333334,0.18181818181818182,0.3076923076923077
79,7900,0.6424242424242425,0.8333333333333334,0.8,0.8333333333333334,0.6923076923076923,0.8,0.8181818181818182,0.1,
80,8000,0.6470588235294118,0.875,0.75,0.7777777777777778,0.9,0.9,0.8333333333333334,0.1,
