,time[ms],cpu_load,cpu_scaling_freq,cpu,sitename
24,2400,0.7692307692307693,1708.0,4,wellsfargo
25,2500,,,4,wellsfargo
26,2600,,1708.0,4,wellsfargo
27,2700,0.8571428571428571,1708.0,4,wellsfargo
28,2800,0.8,1708.0,4,wellsfargo
29,2900,,,4,wellsfargo
30,3000,,1708.0,4,wellsfargo
31,3100,0.7777777777777778,1708.0,4,wellsfargo
32,3200,0.9,1708.0,4,wellsfargo
33,3300,0.7777777777777778,1708.0,4,wellsfargo
34,3400,0.7,1708.0,4,wellsfargo
35,3500,0.8,1708.0,4,wellsfargo
36,3600,0.8181818181818182,1708.0,4,wellsfargo
37,3700,0.8571428571428571,1708.0,4,wellsfargo
38,3800,,,4,wellsfargo
39,3900,,1708.0,4,wellsfargo
40,4000,0.8571428571428571,1708.0,4,wellsfargo
41,4100,0.6428571428571429,1708.0,4,wellsfargo
42,4200,0.8,1708.0,4,wellsfargo
43,4300,,,4,wellsfargo
44,4400,,1708.0,4,wellsfargo
45,4500,0.7857142857142857,1708.0,4,wellsfargo
46,4600,0.9,1708.0,4,wellsfargo
47,4700,0.9230769230769232,1516.0,4,wellsfargo
48,4800,0.9,1516.0,4,wellsfargo
49,4900,0.9090909090909092,1708.0,4,wellsfargo
50,5000,,,4,wellsfargo
51,5100,,1708.0,4,wellsfargo
52,5200,0.8333333333333334,1708.0,4,wellsfargo
53,5300,0.8181818181818182,1708.0,4,wellsfargo
54,5400,0.7857142857142857,1708.0,4,wellsfargo
55,5500,,,4,wellsfargo
56,5600,,1708.0,4,wellsfargo
57,5700,0.9166666666666666,1708.0,4,wellsfargo
58,5800,0.7,1708.0,4,wellsfargo
59,5900,0.8,1708.0,4,wellsfargo
60,6000,,,4,wellsfargo
61,6100,,1708.0,4,wellsfargo
62,6200,0.7058823529411765,1708.0,4,wellsfargo
63,6300,0.9,1708.0,4,wellsfargo
64,6400,0.8,1708.0,4,wellsfargo
65,6500,0.8333333333333334,1708.0,4,wellsfargo
66,6600,,,4,wellsfargo
67,6700,,1708.0,4,wellsfargo
68,6800,,,4,wellsfargo
69,6900,,1708.0,4,wellsfargo
70,7000,0.9166666666666666,1708.0,4,wellsfargo
71,7100,0.8181818181818182,1708.0,4,wellsfargo
72,7200,0.8461538461538461,1708.0,4,wellsfargo
73,7300,0.9090909090909092,1708.0,4,wellsfargo
74,7400,0.8461538461538461,1708.0,4,wellsfargo
75,7500,,,4,wellsfargo
76,7600,,1708.0,4,wellsfargo
77,7700,0.8333333333333334,1708.0,4,wellsfargo
78,7800,0.8333333333333334,1708.0,4,wellsfargo
79,7900,0.875,1708.0,4,wellsfargo
80,8000,0.8333333333333334,1708.0,4,wellsfargo
0,0,,1708.0,4,wellsfargo
1,100,0.95,1708.0,4,wellsfargo
2,200,0.8181818181818182,1708.0,4,wellsfargo
3,300,,,4,wellsfargo
4,400,,1708.0,4,wellsfargo
5,500,0.8461538461538461,1708.0,4,wellsfargo
6,600,0.8,1708.0,4,wellsfargo
7,700,0.75,1708.0,4,wellsfargo
8,800,,,4,wellsfargo
9,900,,1708.0,4,wellsfargo
10,1000,0.9230769230769232,1708.0,4,wellsfargo
11,1100,0.9090909090909092,1708.0,4,wellsfargo
12,1200,,,4,wellsfargo
13,1300,,1708.0,4,wellsfargo
14,1400,0.7368421052631579,1708.0,4,wellsfargo
15,1500,,,4,wellsfargo
16,1600,,1708.0,4,wellsfargo
17,1700,0.875,1708.0,4,wellsfargo
18,1800,,,4,wellsfargo
19,1900,,1708.0,4,wellsfargo
20,2000,0.8461538461538461,1708.0,4,wellsfargo
21,2100,0.7,1708.0,4,wellsfargo
22,2200,0.9,1708.0,4,wellsfargo
23,2300,,,4,wellsfargo
24,2400,,1708.0,4,wellsfargo
25,2500,0.6923076923076923,1708.0,4,wellsfargo
26,2600,0.8666666666666667,1708.0,4,wellsfargo
27,2700,,,4,wellsfargo
28,2800,,1708.0,4,wellsfargo
29,2900,0.7272727272727273,1708.0,4,wellsfargo
30,3000,0.8888888888888888,1708.0,4,wellsfargo
31,3100,0.8571428571428571,1708.0,4,wellsfargo
32,3200,0.7777777777777778,1708.0,4,wellsfargo
33,3300,,,4,wellsfargo
34,3400,,1708.0,4,wellsfargo
35,3500,0.65,1708.0,4,wellsfargo
36,3600,0.8333333333333334,1708.0,4,wellsfargo
37,3700,,,4,wellsfargo
38,3800,,1708.0,4,wellsfargo
39,3900,0.8181818181818182,1708.0,4,wellsfargo
40,4000,0.7692307692307693,1708.0,4,wellsfargo
41,4100,,,4,wellsfargo
42,4200,,1708.0,4,wellsfargo
43,4300,0.8333333333333334,1708.0,4,wellsfargo
44,4400,0.7857142857142857,1708.0,4,wellsfargo
45,4500,0.5833333333333334,1708.0,4,wellsfargo
46,4600,0.9090909090909092,1708.0,4,wellsfargo
47,4700,,,4,wellsfargo
48,4800,,1708.0,4,wellsfargo
49,4900,0.8620689655172413,1708.0,4,wellsfargo
50,5000,,,4,wellsfargo
51,5100,,1708.0,4,wellsfargo
52,5200,0.8181818181818182,1708.0,4,wellsfargo
53,5300,0.8181818181818182,1708.0,4,wellsfargo
54,5400,0.75,1708.0,4,wellsfargo
55,5500,0.8181818181818182,1708.0,4,wellsfargo
56,5600,0.8461538461538461,1708.0,4,wellsfargo
57,5700,,,4,wellsfargo
58,5800,,1708.0,4,wellsfargo
59,5900,0.8181818181818182,1708.0,4,wellsfargo
60,6000,0.6666666666666666,1708.0,4,wellsfargo
61,6100,0.8181818181818182,1708.0,4,wellsfargo
62,6200,0.8181818181818182,1708.0,4,wellsfargo
63,6300,0.8181818181818182,1708.0,4,wellsfargo
64,6400,0.7777777777777778,1708.0,4,wellsfargo
65,6500,1.0,1708.0,4,wellsfargo
66,6600,,,4,wellsfargo
67,6700,,1708.0,4,wellsfargo
68,6800,0.75,1708.0,4,wellsfargo
69,6900,0.7,1708.0,4,wellsfargo
70,7000,0.8461538461538461,1708.0,4,wellsfargo
71,7100,0.75,1708.0,4,wellsfargo
72,7200,0.8571428571428571,1708.0,4,wellsfargo
73,7300,0.8333333333333334,1708.0,4,wellsfargo
74,7400,0.7777777777777778,1708.0,4,wellsfargo
75,7500,,,4,wellsfargo
76,7600,,1708.0,4,wellsfargo
77,7700,0.6363636363636364,1708.0,4,wellsfargo
78,7800,0.8,1708.0,4,wellsfargo
79,7900,0.8333333333333334,1708.0,4,wellsfargo
0,0,,1708.0,4,wellsfargo
1,100,,,4,wellsfargo
2,200,,1708.0,4,wellsfargo
3,300,0.7333333333333333,1708.0,4,wellsfargo
4,400,0.6363636363636364,1708.0,4,wellsfargo
5,500,0.7272727272727273,1708.0,4,wellsfargo
6,600,0.8,1708.0,4,wellsfargo
7,700,0.875,1708.0,4,wellsfargo
8,800,,,4,wellsfargo
9,900,,1612.0,4,wellsfargo
10,1000,0.5555555555555556,1708.0,4,wellsfargo
11,1100,0.7777777777777778,1708.0,4,wellsfargo
12,1200,0.9,1708.0,4,wellsfargo
13,1300,0.8181818181818182,1708.0,4,wellsfargo
14,1400,0.7777777777777778,1708.0,4,wellsfargo
15,1500,,,4,wellsfargo
16,1600,,1708.0,4,wellsfargo
17,1700,0.7272727272727273,1708.0,4,wellsfargo
18,1800,0.8,1708.0,4,wellsfargo
19,1900,,,4,wellsfargo
20,2000,,1708.0,4,wellsfargo
21,2100,0.6666666666666666,1708.0,4,wellsfargo
22,2200,0.7777777777777778,1708.0,4,wellsfargo
23,2300,0.8181818181818182,1708.0,4,wellsfargo
24,2400,0.75,1708.0,4,wellsfargo
25,2500,,,4,wellsfargo
26,2600,,1708.0,4,wellsfargo
27,2700,0.9166666666666666,1708.0,4,wellsfargo
28,2800,0.8333333333333334,1708.0,4,wellsfargo
29,2900,,,4,wellsfargo
30,3000,,1708.0,4,wellsfargo
31,3100,0.5555555555555556,1708.0,4,wellsfargo
32,3200,0.6666666666666666,1708.0,4,wellsfargo
33,3300,0.7777777777777778,1708.0,4,wellsfargo
34,3400,0.7857142857142857,1708.0,4,wellsfargo
35,3500,,,4,wellsfargo
36,3600,,1708.0,4,wellsfargo
37,3700,0.8461538461538461,1708.0,4,wellsfargo
38,3800,0.875,1708.0,4,wellsfargo
39,3900,0.75,1708.0,4,wellsfargo
40,4000,,,4,wellsfargo
41,4100,,1708.0,4,wellsfargo
42,4200,0.5789473684210527,1708.0,4,wellsfargo
43,4300,0.8,1708.0,4,wellsfargo
44,4400,0.8888888888888888,1708.0,4,wellsfargo
45,4500,0.8461538461538461,1708.0,4,wellsfargo
46,4600,0.7777777777777778,1708.0,4,wellsfargo
47,4700,0.7777777777777778,1708.0,4,wellsfargo
48,4800,0.8571428571428571,1708.0,4,wellsfargo
49,4900,,,4,wellsfargo
50,5000,,1708.0,4,wellsfargo
51,5100,0.7857142857142857,1708.0,4,wellsfargo
52,5200,0.75,1708.0,4,wellsfargo
53,5300,0.8461538461538461,1708.0,4,wellsfargo
54,5400,0.8181818181818182,1708.0,4,wellsfargo
55,5500,0.875,1708.0,4,wellsfargo
56,5600,0.9,1708.0,4,wellsfargo
57,5700,,,4,wellsfargo
58,5800,,1708.0,4,wellsfargo
59,5900,0.7058823529411765,1708.0,4,wellsfargo
60,6000,0.75,1708.0,4,wellsfargo
61,6100,0.8181818181818182,1708.0,4,wellsfargo
62,6200,0.75,1708.0,4,wellsfargo
63,6300,,,4,wellsfargo
64,6400,,1708.0,4,wellsfargo
65,6500,0.9,1708.0,4,wellsfargo
66,6600,0.7272727272727273,1708.0,4,wellsfargo
67,6700,1.0,1708.0,4,wellsfargo
68,6800,0.7333333333333333,1708.0,4,wellsfargo
69,6900,0.8888888888888888,1708.0,4,wellsfargo
70,7000,0.7272727272727273,1708.0,4,wellsfargo
71,7100,,,4,wellsfargo
72,7200,,1708.0,4,wellsfargo
73,7300,0.5714285714285714,1708.0,4,wellsfargo
74,7400,,,4,wellsfargo
75,7500,,1708.0,4,wellsfargo
76,7600,0.6666666666666666,1708.0,4,wellsfargo
77,7700,0.9090909090909092,1708.0,4,wellsfargo
78,7800,0.9,1708.0,4,wellsfargo
79,7900,0.9,1708.0,4,wellsfargo
80,8000,0.8,1708.0,4,wellsfargo
81,8100,0.7272727272727273,1708.0,4,wellsfargo
0,0,,1708.0,4,wellsfargo
1,100,0.8666666666666667,1708.0,4,wellsfargo
2,200,0.8333333333333334,1708.0,4,wellsfargo
3,300,0.9230769230769232,1708.0,4,wellsfargo
4,400,,,4,wellsfargo
5,500,,1708.0,4,wellsfargo
6,600,0.631578947368421,1708.0,4,wellsfargo
7,700,,,4,wellsfargo
8,800,,1708.0,4,wellsfargo
9,900,,,4,wellsfargo
10,1000,,1708.0,4,wellsfargo
11,1100,0.7692307692307693,1708.0,4,wellsfargo
12,1200,,,4,wellsfargo
13,1300,,1708.0,4,wellsfargo
14,1400,0.9375,1708.0,4,wellsfargo
15,1500,,,4,wellsfargo
16,1600,,1708.0,4,wellsfargo
17,1700,0.7222222222222222,1708.0,4,wellsfargo
18,1800,0.9333333333333332,1708.0,4,wellsfargo
19,1900,,,4,wellsfargo
20,2000,,1708.0,4,wellsfargo
21,2100,0.8333333333333334,1708.0,4,wellsfargo
22,2200,0.8571428571428571,1708.0,4,wellsfargo
23,2300,,,4,wellsfargo
24,2400,,1708.0,4,wellsfargo
25,2500,0.8461538461538461,1708.0,4,wellsfargo
26,2600,0.8461538461538461,1708.0,4,wellsfargo
27,2700,,,4,wellsfargo
28,2800,,1708.0,4,wellsfargo
29,2900,0.8666666666666667,1708.0,4,wellsfargo
30,3000,0.9,1708.0,4,wellsfargo
31,3100,0.7692307692307693,1708.0,4,wellsfargo
32,3200,0.8461538461538461,1708.0,4,wellsfargo
33,3300,1.0,1708.0,4,wellsfargo
34,3400,0.7272727272727273,1708.0,4,wellsfargo
35,3500,,,4,wellsfargo
36,3600,,1708.0,4,wellsfargo
37,3700,0.5882352941176471,1708.0,4,wellsfargo
38,3800,,,4,wellsfargo
39,3900,,1708.0,4,wellsfargo
40,4000,0.8,1708.0,4,wellsfargo
41,4100,0.8181818181818182,1708.0,4,wellsfargo
42,4200,,,4,wellsfargo
43,4300,,1708.0,4,wellsfargo
44,4400,0.7857142857142857,1708.0,4,wellsfargo
45,4500,0.8461538461538461,1708.0,4,wellsfargo
46,4600,0.9,1708.0,4,wellsfargo
47,4700,,,4,wellsfargo
48,4800,,1708.0,4,wellsfargo
49,4900,0.5,1708.0,4,wellsfargo
50,5000,0.8333333333333334,1708.0,4,wellsfargo
51,5100,0.8888888888888888,1708.0,4,wellsfargo
52,5200,0.9,1708.0,4,wellsfargo
53,5300,0.9,1708.0,4,wellsfargo
54,5400,0.9,1708.0,4,wellsfargo
55,5500,0.8461538461538461,1708.0,4,wellsfargo
56,5600,,,4,wellsfargo
57,5700,,1708.0,4,wellsfargo
58,5800,0.6666666666666666,1708.0,4,wellsfargo
59,5900,0.75,1708.0,4,wellsfargo
60,6000,,,4,wellsfargo
61,6100,,1708.0,4,wellsfargo
62,6200,0.75,1708.0,4,wellsfargo
63,6300,0.8,1708.0,4,wellsfargo
64,6400,0.9,1708.0,4,wellsfargo
65,6500,0.7,1708.0,4,wellsfargo
66,6600,0.7692307692307693,1708.0,4,wellsfargo
67,6700,0.6666666666666666,1708.0,4,wellsfargo
68,6800,0.7272727272727273,1708.0,4,wellsfargo
69,6900,0.8,1708.0,4,wellsfargo
70,7000,0.75,1708.0,4,wellsfargo
71,7100,,,4,wellsfargo
72,7200,,1708.0,4,wellsfargo
73,7300,0.8461538461538461,1708.0,4,wellsfargo
74,7400,0.6923076923076923,1708.0,4,wellsfargo
75,7500,0.9090909090909092,1708.0,4,wellsfargo
76,7600,0.8181818181818182,1708.0,4,wellsfargo
77,7700,,,4,wellsfargo
78,7800,,1708.0,4,wellsfargo
79,7900,0.8571428571428571,1708.0,4,wellsfargo
80,8000,0.7692307692307693,1708.0,4,wellsfargo
0,0,,1708.0,4,wellsfargo
1,100,0.9375,1708.0,4,wellsfargo
2,200,1.0,1708.0,4,wellsfargo
3,300,0.8181818181818182,1708.0,4,wellsfargo
4,400,,,4,wellsfargo
5,500,,1708.0,4,wellsfargo
6,600,0.9166666666666666,1708.0,4,wellsfargo
7,700,0.75,1708.0,4,wellsfargo
8,800,,,4,wellsfargo
9,900,,1708.0,4,wellsfargo
10,1000,0.9285714285714286,1708.0,4,wellsfargo
11,1100,0.7692307692307693,1708.0,4,wellsfargo
12,1200,0.75,1708.0,4,wellsfargo
13,1300,,,4,wellsfargo
14,1400,,,4,wellsfargo
15,1500,,,4,wellsfargo
16,1600,,,4,wellsfargo
17,1700,,1708.0,4,wellsfargo
18,1800,0.5111111111111111,1708.0,4,wellsfargo
19,1900,,,4,wellsfargo
20,2000,,1708.0,4,wellsfargo
21,2100,0.75,1708.0,4,wellsfargo
22,2200,0.8,1708.0,4,wellsfargo
23,2300,0.7272727272727273,1708.0,4,wellsfargo
24,2400,0.8461538461538461,1708.0,4,wellsfargo
25,2500,,,4,wellsfargo
26,2600,,1708.0,4,wellsfargo
27,2700,,,4,wellsfargo
28,2800,,1708.0,4,wellsfargo
29,2900,0.6956521739130435,1708.0,4,wellsfargo
30,3000,0.8181818181818182,1708.0,4,wellsfargo
31,3100,0.7777777777777778,1708.0,4,wellsfargo
32,3200,0.9166666666666666,1708.0,4,wellsfargo
33,3300,0.8461538461538461,1708.0,4,wellsfargo
34,3400,,,4,wellsfargo
35,3500,,1708.0,4,wellsfargo
36,3600,0.9230769230769232,1708.0,4,wellsfargo
37,3700,,,4,wellsfargo
38,3800,,1708.0,4,wellsfargo
39,3900,0.631578947368421,1708.0,4,wellsfargo
40,4000,0.8461538461538461,1708.0,4,wellsfargo
41,4100,0.8,1708.0,4,wellsfargo
42,4200,0.9,1708.0,4,wellsfargo
43,4300,,,4,wellsfargo
44,4400,,1708.0,4,wellsfargo
45,4500,0.9285714285714286,1708.0,4,wellsfargo
46,4600,0.9166666666666666,1708.0,4,wellsfargo
47,4700,0.7272727272727273,1708.0,4,wellsfargo
48,4800,,,4,wellsfargo
49,4900,,1708.0,4,wellsfargo
50,5000,0.6923076923076923,1708.0,4,wellsfargo
51,5100,0.9166666666666666,1708.0,4,wellsfargo
52,5200,0.7857142857142857,1708.0,4,wellsfargo
53,5300,,,4,wellsfargo
54,5400,,1708.0,4,wellsfargo
55,5500,0.9166666666666666,1708.0,4,wellsfargo
56,5600,0.7272727272727273,1708.0,4,wellsfargo
57,5700,0.75,1708.0,4,wellsfargo
58,5800,,,4,wellsfargo
59,5900,,1708.0,4,wellsfargo
60,6000,0.6666666666666666,1708.0,4,wellsfargo
61,6100,0.6666666666666666,1708.0,4,wellsfargo
62,6200,0.9166666666666666,1708.0,4,wellsfargo
63,6300,0.7272727272727273,1708.0,4,wellsfargo
64,6400,0.8181818181818182,1708.0,4,wellsfargo
65,6500,0.8333333333333334,1708.0,4,wellsfargo
66,6600,0.8888888888888888,1708.0,4,wellsfargo
67,6700,0.8181818181818182,1708.0,4,wellsfargo
68,6800,0.8333333333333334,1708.0,4,wellsfargo
69,6900,0.75,1708.0,4,wellsfargo
70,7000,0.9,1708.0,4,wellsfargo
71,7100,,,4,wellsfargo
72,7200,,1708.0,4,wellsfargo
73,7300,0.8666666666666667,1708.0,4,wellsfargo
74,7400,0.8,1708.0,4,wellsfargo
75,7500,0.8181818181818182,1708.0,4,wellsfargo
76,7600,0.8,1708.0,4,wellsfargo
77,7700,0.8,1708.0,4,wellsfargo
78,7800,0.7777777777777778,1708.0,4,wellsfargo
79,7900,0.8333333333333334,1708.0,4,wellsfargo
0,0,,1708.0,4,wellsfargo
1,100,,,4,wellsfargo
2,200,,1708.0,4,wellsfargo
3,300,0.9411764705882352,1708.0,4,wellsfargo
4,400,0.8461538461538461,1708.0,4,wellsfargo
5,500,0.7272727272727273,1708.0,4,wellsfargo
6,600,0.9166666666666666,1708.0,4,wellsfargo
7,700,1.0,1708.0,4,wellsfargo
8,800,0.6,1708.0,4,wellsfargo
9,900,0.5555555555555556,1708.0,4,wellsfargo
10,1000,,,4,wellsfargo
11,1100,,1708.0,4,wellsfargo
12,1200,0.8125,1708.0,4,wellsfargo
13,1300,1.0,1708.0,4,wellsfargo
14,1400,0.9166666666666666,1708.0,4,wellsfargo
15,1500,,,4,wellsfargo
16,1600,,1708.0,4,wellsfargo
17,1700,,,4,wellsfargo
18,1800,,1708.0,4,wellsfargo
19,1900,0.8181818181818182,1708.0,4,wellsfargo
20,2000,,,4,wellsfargo
21,2100,,1708.0,4,wellsfargo
22,2200,,,4,wellsfargo
23,2300,,1708.0,4,wellsfargo
24,2400,,,4,wellsfargo
25,2500,,1708.0,4,wellsfargo
26,2600,,,4,wellsfargo
27,2700,,1708.0,4,wellsfargo
28,2800,0.8421052631578947,1708.0,4,wellsfargo
29,2900,,,4,wellsfargo
30,3000,,1612.0,4,wellsfargo
31,3100,0.8333333333333334,1708.0,4,wellsfargo
32,3200,0.9090909090909092,1708.0,4,wellsfargo
33,3300,0.75,1708.0,4,wellsfargo
34,3400,0.5,1708.0,4,wellsfargo
35,3500,,,4,wellsfargo
36,3600,,1708.0,4,wellsfargo
37,3700,0.3076923076923077,1708.0,4,wellsfargo
38,3800,0.5714285714285714,1708.0,4,wellsfargo
39,3900,,,4,wellsfargo
40,4000,,1708.0,4,wellsfargo
41,4100,,,4,wellsfargo
42,4200,,,4,wellsfargo
43,4300,,,4,wellsfargo
44,4400,,,4,wellsfargo
45,4500,,,4,wellsfargo
46,4600,,1708.0,4,wellsfargo
47,4700,0.4107142857142857,1708.0,4,wellsfargo
48,4800,0.7777777777777778,1708.0,4,wellsfargo
49,4900,0.9090909090909092,1708.0,4,wellsfargo
50,5000,,,4,wellsfargo
51,5100,,1708.0,4,wellsfargo
52,5200,0.9166666666666666,1708.0,4,wellsfargo
53,5300,0.8,1708.0,4,wellsfargo
54,5400,0.75,1708.0,4,wellsfargo
55,5500,0.9285714285714286,1708.0,4,wellsfargo
56,5600,,,4,wellsfargo
57,5700,,1708.0,4,wellsfargo
58,5800,0.7647058823529411,1708.0,4,wellsfargo
59,5900,0.8666666666666667,1708.0,4,wellsfargo
60,6000,,,4,wellsfargo
61,6100,,1708.0,4,wellsfargo
62,6200,0.8461538461538461,1708.0,4,wellsfargo
63,6300,0.7777777777777778,1708.0,4,wellsfargo
64,6400,0.7777777777777778,1708.0,4,wellsfargo
65,6500,0.9090909090909092,1708.0,4,wellsfargo
66,6600,0.7,1708.0,4,wellsfargo
67,6700,,,4,wellsfargo
68,6800,,1708.0,4,wellsfargo
69,6900,0.7857142857142857,1708.0,4,wellsfargo
70,7000,0.8181818181818182,1708.0,4,wellsfargo
71,7100,0.9,1708.0,4,wellsfargo
72,7200,0.8333333333333334,1708.0,4,wellsfargo
73,7300,0.8,1708.0,4,wellsfargo
74,7400,,,4,wellsfargo
75,7500,,1708.0,4,wellsfargo
76,7600,0.7333333333333333,1708.0,4,wellsfargo
77,7700,,,4,wellsfargo
78,7800,,1708.0,4,wellsfargo
79,7900,0.6111111111111112,1708.0,4,wellsfargo
80,8000,0.6923076923076923,1708.0,4,wellsfargo
0,0,,1708.0,4,wellsfargo
1,100,1.0,1708.0,4,wellsfargo
2,200,0.9,1708.0,4,wellsfargo
3,300,0.6666666666666666,1708.0,4,wellsfargo
4,400,,,4,wellsfargo
5,500,,,4,wellsfargo
6,600,,1708.0,4,wellsfargo
7,700,0.74,1708.0,4,wellsfargo
8,800,,,4,wellsfargo
9,900,,1708.0,4,wellsfargo
10,1000,0.9,1708.0,4,wellsfargo
11,1100,0.9230769230769232,1708.0,4,wellsfargo
12,1200,0.9285714285714286,1708.0,4,wellsfargo
13,1300,,,4,wellsfargo
14,1400,,1708.0,4,wellsfargo
15,1500,0.7692307692307693,1708.0,4,wellsfargo
16,1600,,,4,wellsfargo
17,1700,,1708.0,4,wellsfargo
18,1800,0.9,1708.0,4,wellsfargo
19,1900,1.0,1708.0,4,wellsfargo
20,2000,0.8333333333333334,1708.0,4,wellsfargo
21,2100,,,4,wellsfargo
22,2200,,1708.0,4,wellsfargo
23,2300,0.9333333333333332,1708.0,4,wellsfargo
24,2400,0.8,1708.0,4,wellsfargo
25,2500,0.8571428571428571,1708.0,4,wellsfargo
26,2600,,,4,wellsfargo
27,2700,,1708.0,4,wellsfargo
28,2800,0.6,1708.0,4,wellsfargo
29,2900,0.9090909090909092,1708.0,4,wellsfargo
30,3000,0.8333333333333334,1708.0,4,wellsfargo
31,3100,0.9166666666666666,1708.0,4,wellsfargo
32,3200,0.9,1708.0,4,wellsfargo
33,3300,,,4,wellsfargo
34,3400,,1708.0,4,wellsfargo
35,3500,0.8181818181818182,1708.0,4,wellsfargo
36,3600,0.8125,1708.0,4,wellsfargo
37,3700,,,4,wellsfargo
38,3800,,1708.0,4,wellsfargo
39,3900,0.42857142857142855,1708.0,4,wellsfargo
40,4000,0.8125,1708.0,4,wellsfargo
41,4100,0.8888888888888888,1708.0,4,wellsfargo
42,4200,,,4,wellsfargo
43,4300,,1708.0,4,wellsfargo
44,4400,0.9166666666666666,1708.0,4,wellsfargo
45,4500,0.8181818181818182,1708.0,4,wellsfargo
46,4600,0.9,1708.0,4,wellsfargo
47,4700,0.9090909090909092,1708.0,4,wellsfargo
48,4800,,,4,wellsfargo
49,4900,,1708.0,4,wellsfargo
50,5000,0.8,1708.0,4,wellsfargo
51,5100,0.8461538461538461,1708.0,4,wellsfargo
52,5200,0.9,1708.0,4,wellsfargo
53,5300,0.9090909090909092,1708.0,4,wellsfargo
54,5400,0.8333333333333334,1708.0,4,wellsfargo
55,5500,0.8,1708.0,4,wellsfargo
56,5600,0.8181818181818182,1708.0,4,wellsfargo
57,5700,,,4,wellsfargo
58,5800,,1708.0,4,wellsfargo
59,5900,0.6666666666666666,1708.0,4,wellsfargo
60,6000,0.75,1708.0,4,wellsfargo
61,6100,0.8,1708.0,4,wellsfargo
62,6200,0.75,1708.0,4,wellsfargo
63,6300,0.6,1708.0,4,wellsfargo
64,6400,0.7857142857142857,1708.0,4,wellsfargo
65,6500,0.8888888888888888,1708.0,4,wellsfargo
66,6600,0.7777777777777778,1708.0,4,wellsfargo
67,6700,,,4,wellsfargo
68,6800,,1708.0,4,wellsfargo
69,6900,,,4,wellsfargo
70,7000,,1708.0,4,wellsfargo
71,7100,,,4,wellsfargo
72,7200,,1708.0,4,wellsfargo
73,7300,0.9,1708.0,4,wellsfargo
74,7400,,,4,wellsfargo
75,7500,,1708.0,4,wellsfargo
76,7600,0.7272727272727273,1708.0,4,wellsfargo
77,7700,,,4,wellsfargo
78,7800,,1708.0,4,wellsfargo
79,7900,0.7692307692307693,1708.0,4,wellsfargo
80,8000,0.8125,1708.0,4,wellsfargo
0,0,,1708.0,4,wellsfargo
1,100,,,4,wellsfargo
2,200,,1708.0,4,wellsfargo
3,300,0.9230769230769232,1708.0,4,wellsfargo
4,400,,,4,wellsfargo
5,500,,1708.0,4,wellsfargo
6,600,0.875,1708.0,4,wellsfargo
7,700,,,4,wellsfargo
8,800,,1708.0,4,wellsfargo
9,900,0.5384615384615384,1708.0,4,wellsfargo
10,1000,0.9333333333333332,1708.0,4,wellsfargo
11,1100,,,4,wellsfargo
12,1200,,1708.0,4,wellsfargo
13,1300,,,4,wellsfargo
14,1400,,1708.0,4,wellsfargo
15,1500,,,4,wellsfargo
16,1600,,1708.0,4,wellsfargo
17,1700,,,4,wellsfargo
18,1800,,,4,wellsfargo
19,1900,,1708.0,4,wellsfargo
20,2000,,,4,wellsfargo
21,2100,,,4,wellsfargo
22,2200,,1708.0,4,wellsfargo
23,2300,,,4,wellsfargo
24,2400,,,4,wellsfargo
25,2500,,1708.0,4,wellsfargo
26,2600,0.875,1708.0,4,wellsfargo
27,2700,,,4,wellsfargo
28,2800,,1708.0,4,wellsfargo
29,2900,,,4,wellsfargo
30,3000,,1708.0,4,wellsfargo
31,3100,,,4,wellsfargo
32,3200,,1708.0,4,wellsfargo
33,3300,1.0,1708.0,4,wellsfargo
34,3400,0.6666666666666666,1708.0,4,wellsfargo
35,3500,0.8888888888888888,1708.0,4,wellsfargo
36,3600,0.8181818181818182,1708.0,4,wellsfargo
37,3700,,,4,wellsfargo
38,3800,,1708.0,4,wellsfargo
39,3900,1.0,1708.0,4,wellsfargo
40,4000,,,4,wellsfargo
41,4100,,1708.0,4,wellsfargo
42,4200,0.9230769230769232,1708.0,4,wellsfargo
43,4300,1.0,1708.0,4,wellsfargo
44,4400,0.8,1708.0,4,wellsfargo
45,4500,0.75,1708.0,4,wellsfargo
46,4600,,,4,wellsfargo
47,4700,,1708.0,4,wellsfargo
48,4800,,,4,wellsfargo
49,4900,,1708.0,4,wellsfargo
50,5000,0.9444444444444444,1708.0,4,wellsfargo
51,5100,,,4,wellsfargo
52,5200,,1708.0,4,wellsfargo
53,5300,1.0,1708.0,4,wellsfargo
54,5400,0.8571428571428571,1708.0,4,wellsfargo
55,5500,,,4,wellsfargo
56,5600,,1708.0,4,wellsfargo
57,5700,0.8461538461538461,1708.0,4,wellsfargo
58,5800,0.625,1708.0,4,wellsfargo
59,5900,0.7777777777777778,1708.0,4,wellsfargo
60,6000,,,4,wellsfargo
61,6100,,1708.0,4,wellsfargo
62,6200,0.8,1708.0,4,wellsfargo
63,6300,0.8333333333333334,1708.0,4,wellsfargo
64,6400,0.75,1708.0,4,wellsfargo
65,6500,,,4,wellsfargo
66,6600,,1708.0,4,wellsfargo
67,6700,0.7,1708.0,4,wellsfargo
68,6800,0.8,1708.0,4,wellsfargo
69,6900,0.8333333333333334,1708.0,4,wellsfargo
70,7000,0.9090909090909092,1708.0,4,wellsfargo
71,7100,0.7142857142857143,1708.0,4,wellsfargo
72,7200,0.5555555555555556,1708.0,4,wellsfargo
