,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8
22,2200,0.6875,0.7,0.8181818181818182,,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.3,0.16666666666666666
23,2300,0.6388888888888888,0.6,0.75,0.8611111111111112,0.8333333333333334,0.7272727272727273,0.75,0.3,0.18181818181818182
24,2400,0.6608187134502924,0.8181818181818182,,,0.75,0.7777777777777778,0.8181818181818182,0.25,0.25
25,2500,0.6544502617801047,0.75,,,0.8181818181818182,,0.75,0.0,0.18181818181818182
26,2600,0.6417112299465241,0.7333333333333333,0.6153846153846154,0.8333333333333334,,,,0.3333333333333333,0.3333333333333333
27,2700,0.5950413223140496,0.6666666666666666,0.8,0.75,,0.8181818181818182,,,0.2727272727272727
28,2800,0.6484375,0.8888888888888888,0.7692307692307693,0.7777777777777778,0.7272727272727273,0.6363636363636364,0.75,,
29,2900,0.6624203821656051,,,,0.9,0.7,0.8,0.16666666666666666,
30,3000,0.6601307189542484,,,,,,0.9,,
31,3100,0.6590909090909091,0.6,0.5,0.5625,,,0.5294117647058824,,
32,3200,0.4260869565217391,0.7272727272727273,0.8,0.625,0.4444444444444444,0.5,0.8333333333333334,0.2222222222222222,0.09090909090909091
33,3300,0.64,0.8888888888888888,0.7142857142857143,0.875,1.0,0.9,0.7777777777777778,0.1,0.3333333333333333
34,3400,0.6457142857142857,0.75,,0.75,0.8333333333333334,0.7142857142857143,0.6666666666666666,0.15384615384615385,0.23076923076923078
35,3500,0.6190476190476191,0.9090909090909091,,0.7272727272727273,0.7272727272727273,,,0.4,0.36363636363636365
36,3600,0.6125,0.75,0.9230769230769231,0.8064516129032258,0.4444444444444444,,,0.38461538461538464,0.1
37,3700,0.6866666666666666,1.0,0.7272727272727273,,0.6666666666666666,0.8461538461538461,,0.18181818181818182,0.42857142857142855
38,3800,0.6481481481481481,0.7,0.8,,0.75,0.6153846153846154,,,
39,3900,0.6575342465753424,,,0.8181818181818182,0.875,0.9166666666666666,0.8181818181818182,,
40,4000,0.672316384180791,,,0.7,0.8,,0.8,0.25,0.3
41,4100,0.6638655462184874,0.8461538461538461,0.6,,0.6666666666666666,,0.7272727272727273,0.3333333333333333,0.375
42,4200,0.6388888888888888,0.7058823529411765,0.9090909090909091,,0.42857142857142855,0.6,0.7333333333333333,,1.0
43,4300,0.545045045045045,,0.8181818181818182,0.8333333333333334,,0.8333333333333334,,,0.3076923076923077
44,4400,0.835,,0.8333333333333334,0.7,,0.6923076923076923,,0.5384615384615384,
45,4500,0.6201550387596899,,0.7692307692307693,0.8333333333333334,0.8181818181818182,,0.7272727272727273,0.2,
46,4600,0.6236559139784946,,0.8461538461538461,0.7142857142857143,0.6428571428571429,,0.7,0.36363636363636365,
47,4700,0.6193181818181818,0.7857142857142857,,0.75,0.7,,1.0,0.2222222222222222,
48,4800,0.6514285714285715,0.8,,0.8333333333333334,0.6923076923076923,,0.8181818181818182,0.3,0.16666666666666666
49,4900,0.635593220338983,0.8181818181818182,0.8,0.8,0.75,0.7272727272727273,0.8181818181818182,0.0,0.18181818181818182
50,5000,0.6620689655172414,0.7777777777777778,0.8333333333333334,,0.9,0.9090909090909091,0.7272727272727273,0.18181818181818182,0.16666666666666666
51,5100,0.6633165829145728,0.75,0.6153846153846154,,0.6666666666666666,0.8888888888888888,0.7333333333333333,0.3,
52,5200,0.589041095890411,0.8181818181818182,0.7272727272727273,0.9,0.75,0.6428571428571429,,0.18181818181818182,
53,5300,0.625,0.7272727272727273,0.625,0.75,0.9,0.7272727272727273,,0.3333333333333333,0.08333333333333333
54,5400,0.6527777777777778,0.9090909090909091,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8888888888888888,0.9,0.18181818181818182,0.25
55,5500,0.6546762589928058,0.9090909090909091,,0.8181818181818182,,0.6666666666666666,0.8181818181818182,0.3076923076923077,0.1111111111111111
56,5600,0.6581632653061225,0.7,,0.8181818181818182,,,0.8181818181818182,0.2,0.45454545454545453
57,5700,0.6451612903225806,,0.75,0.8,0.6923076923076923,,0.6363636363636364,0.2222222222222222,0.2
58,5800,0.6058394160583942,,0.7,,0.6,0.6470588235294118,0.7777777777777778,,0.125
59,5900,0.6011560693641619,0.6363636363636364,0.7272727272727273,,0.75,0.6923076923076923,0.9090909090909091,,0.4
60,6000,0.6474358974358975,0.8333333333333334,0.75,,0.75,0.5454545454545454,0.8333333333333334,0.23076923076923078,0.3
61,6100,0.5757575757575758,,,,,,,0.3333333333333333,0.2857142857142857
62,6200,0.5272727272727272,,,0.5555555555555556,,,,0.2857142857142857,0.5555555555555556
63,6300,0.5578947368421052,0.5,0.6153846153846154,,0.625,0.6428571428571429,0.7058823529411765,,0.2857142857142857
64,6400,0.5945945945945946,0.8333333333333334,0.8,,0.6923076923076923,0.6923076923076923,0.7,,0.1111111111111111
65,6500,0.6415094339622641,0.7,0.7692307692307693,0.6923076923076923,0.8,0.6,0.7272727272727273,0.15384615384615385,0.2222222222222222
66,6600,0.6153846153846154,0.8,0.8,0.8181818181818182,,0.6,0.8,0.3333333333333333,0.3
67,6700,0.6617647058823529,0.8888888888888888,0.8888888888888888,0.7777777777777778,,0.8333333333333334,0.8888888888888888,0.16666666666666666,
68,6800,0.6580645161290323,,0.8,0.9166666666666666,0.6666666666666666,0.8,0.8,,
69,6900,0.6474820143884892,,0.8333333333333334,0.75,0.75,0.7,0.6153846153846154,,0.2
70,7000,0.6357615894039735,0.8461538461538461,,0.9090909090909091,0.7142857142857143,0.7272727272727273,0.9,0.15384615384615385,0.18181818181818182
71,7100,0.6264367816091954,0.9166666666666666,,,0.7,,,0.2222222222222222,0.2222222222222222
72,7200,0.6821192052980133,,0.5882352941176471,,,,,0.18181818181818182,0.1875
73,7300,0.5235294117647059,,,0.7,,0.5294117647058824,0.625,0.21428571428571427,0.2
74,7400,0.526829268292683,0.7058823529411765,,0.7272727272727273,0.6,0.7142857142857143,0.7272727272727273,0.1,0.0
75,7500,0.6503496503496503,0.9,0.9090909090909091,0.7692307692307693,0.7,0.75,0.8181818181818182,,0.2
76,7600,0.6666666666666666,0.7,0.8333333333333334,0.8888888888888888,0.8461538461538461,0.8,,,0.3
77,7700,0.632768361581921,0.8333333333333334,0.5833333333333334,0.8888888888888888,0.7777777777777778,,,0.23076923076923078,0.2222222222222222
78,7800,0.7007299270072993,1.0,0.7272727272727273,0.8181818181818182,0.8181818181818182,,0.7333333333333333,0.4,0.1111111111111111
79,7900,0.62,0.6923076923076923,0.8888888888888888,0.7142857142857143,0.9,0.7692307692307693,0.8888888888888888,0.16666666666666666,0.25
80,8000,0.6683168316831684,0.9090909090909091,,,0.7692307692307693,0.8333333333333334,0.7586206896551724,0.23076923076923078,
