,time[ms],cpu_load,cpu_scaling_freq
6,600,1.0,1996.0
7,700,0.9090909090909092,1996.0
8,800,0.9230769230769232,1996.0
9,900,,
10,1000,,1996.0
11,1100,0.6153846153846154,1996.0
12,1200,0.4545454545454545,1996.0
13,1300,0.1111111111111111,1996.0
14,1400,0.25,979.0
15,1500,,
16,1600,,1996.0
17,1700,0.2,825.0
18,1800,0.07142857142857142,1996.0
19,1900,0.25,825.0
20,2000,0.16666666666666666,1536.0
21,2100,0.21428571428571427,1996.0
22,2200,,
23,2300,,825.0
24,2400,0.0,1747.0
25,2500,0.2307692307692308,1132.0
26,2600,0.14285714285714285,1536.0
27,2700,0.09090909090909093,1536.0
28,2800,0.0,1996.0
29,2900,0.25,1747.0
30,3000,0.0,1996.0
31,3100,0.2222222222222222,1996.0
32,3200,0.18181818181818185,1747.0
33,3300,0.18181818181818185,1363.0
34,3400,0.2727272727272727,1132.0
35,3500,0.0,1996.0
36,3600,0.2727272727272727,1996.0
37,3700,0.1,1536.0
38,3800,,
39,3900,,1363.0
40,4000,0.16666666666666666,1996.0
41,4100,0.3636363636363637,1996.0
42,4200,0.75,1996.0
43,4300,0.1111111111111111,825.0
44,4400,0.18181818181818185,979.0
45,4500,,
46,4600,,
47,4700,,
48,4800,,
49,4900,,
50,5000,,
51,5100,,
52,5200,,1996.0
53,5300,0.05263157894736842,1536.0
54,5400,0.08333333333333333,1996.0
55,5500,0.21428571428571427,1132.0
56,5600,0.25,825.0
57,5700,0.1111111111111111,1843.0
58,5800,,
59,5900,,825.0
60,6000,0.0,1843.0
61,6100,0.09090909090909093,1996.0
62,6200,,
63,6300,,1536.0
64,6400,0.08333333333333333,1747.0
65,6500,0.0,1996.0
66,6600,0.3,1747.0
67,6700,0.0,825.0
68,6800,0.1,1132.0
69,6900,0.2,1747.0
70,7000,0.1111111111111111,1363.0
71,7100,,
72,7200,,1363.0
73,7300,0.15789473684210525,1996.0
74,7400,0.18181818181818185,1363.0
75,7500,,
76,7600,,1996.0
77,7700,0.21428571428571427,1996.0
78,7800,0.2727272727272727,1132.0
79,7900,0.1,1363.0
80,8000,0.18181818181818185,1747.0
0,0,,1996.0
1,100,1.0,1996.0
2,200,0.9090909090909092,1996.0
3,300,,
4,400,,1996.0
5,500,1.0,1996.0
6,600,1.0,1996.0
7,700,,
8,800,,1996.0
9,900,0.8181818181818182,1996.0
10,1000,,
11,1100,,1996.0
12,1200,0.6666666666666666,1996.0
13,1300,0.5454545454545454,1536.0
14,1400,0.3076923076923077,1996.0
15,1500,0.08333333333333333,1363.0
16,1600,,
17,1700,,1747.0
18,1800,0.09090909090909093,1747.0
19,1900,,
20,2000,,825.0
21,2100,0.21052631578947367,1536.0
22,2200,0.3,1536.0
23,2300,0.25,1996.0
24,2400,,
25,2500,,1363.0
26,2600,0.3333333333333333,1536.0
27,2700,0.125,1996.0
28,2800,0.09090909090909093,825.0
29,2900,0.18181818181818185,1747.0
30,3000,,
31,3100,,825.0
32,3200,,
33,3300,,825.0
34,3400,0.08333333333333333,1536.0
35,3500,0.08333333333333333,1996.0
36,3600,0.1,1996.0
37,3700,0.2222222222222222,1996.0
38,3800,0.35714285714285715,1363.0
39,3900,0.09090909090909093,1363.0
40,4000,,
41,4100,,825.0
42,4200,,
43,4300,,1996.0
44,4400,0.3076923076923077,1363.0
45,4500,0.15384615384615385,1747.0
46,4600,0.1,1996.0
47,4700,0.1,1996.0
48,4800,,
49,4900,,1641.5
50,5000,0.1724137931034483,1747.0
51,5100,,
52,5200,,1843.0
53,5300,0.18181818181818185,1363.0
54,5400,0.18181818181818185,1747.0
55,5500,0.1,1747.0
56,5600,0.0,1996.0
57,5700,0.21428571428571427,1996.0
58,5800,,
59,5900,,1996.0
60,6000,,
61,6100,,1996.0
62,6200,0.10526315789473684,1843.0
63,6300,0.2,1996.0
64,6400,0.4615384615384616,1996.0
65,6500,0.2,825.0
66,6600,0.16666666666666666,1996.0
67,6700,0.2727272727272727,1363.0
68,6800,,
69,6900,,1286.0
70,7000,,
71,7100,,979.0
72,7200,0.3,1996.0
73,7300,0.0,1996.0
74,7400,0.1,1536.0
75,7500,0.0,1363.0
76,7600,0.2,1747.0
77,7700,0.26666666666666666,1996.0
78,7800,0.1111111111111111,1536.0
79,7900,0.2,825.0
0,0,,1996.0
1,100,1.0,1996.0
2,200,1.0,1996.0
3,300,,
4,400,,1996.0
5,500,0.9285714285714286,1996.0
6,600,,
7,700,,1996.0
8,800,0.85,1996.0
9,900,,
10,1000,,1996.0
11,1100,0.9230769230769232,1996.0
12,1200,,
13,1300,,1996.0
14,1400,0.4545454545454545,1536.0
15,1500,0.2,825.0
16,1600,0.16666666666666666,825.0
17,1700,0.09090909090909093,1363.0
18,1800,,
19,1900,,1996.0
20,2000,0.1111111111111111,1996.0
21,2100,0.09090909090909093,1536.0
22,2200,0.08333333333333333,1363.0
23,2300,,
24,2400,,1363.0
25,2500,0.3333333333333333,1996.0
26,2600,0.08333333333333333,1536.0
27,2700,0.3636363636363637,1996.0
28,2800,,
29,2900,,825.0
30,3000,0.10526315789473684,1996.0
31,3100,0.18181818181818185,1363.0
32,3200,0.3,1363.0
33,3300,0.0,1363.0
34,3400,,
35,3500,,1996.0
36,3600,0.3,1363.0
37,3700,0.2,825.0
38,3800,0.1,1996.0
39,3900,,
40,4000,,1996.0
41,4100,0.09523809523809523,1843.0
42,4200,0.0,1996.0
43,4300,0.15384615384615385,1536.0
44,4400,0.2222222222222222,1996.0
45,4500,0.4166666666666667,1996.0
46,4600,,
47,4700,,1996.0
48,4800,0.3076923076923077,1747.0
49,4900,0.09090909090909093,1536.0
50,5000,0.15384615384615385,1536.0
51,5100,0.0,1536.0
52,5200,0.2222222222222222,1996.0
53,5300,0.2727272727272727,1996.0
54,5400,0.2857142857142857,1536.0
55,5500,0.18181818181818185,1747.0
56,5600,,
57,5700,,825.0
58,5800,0.16666666666666666,1996.0
59,5900,0.09090909090909093,1536.0
60,6000,0.0,1996.0
61,6100,0.1875,825.0
62,6200,0.2,1536.0
63,6300,,
64,6400,,1996.0
65,6500,0.3076923076923077,1747.0
66,6600,0.0,1996.0
67,6700,0.18181818181818185,1843.0
68,6800,,
69,6900,,1843.0
70,7000,0.07692307692307693,1843.0
71,7100,,
72,7200,,825.0
73,7300,0.13333333333333333,1747.0
74,7400,0.2222222222222222,825.0
75,7500,0.0,1536.0
76,7600,0.16666666666666666,1996.0
77,7700,0.0,1996.0
78,7800,0.08333333333333333,1996.0
79,7900,0.1,1747.0
80,8000,,
81,8100,,1363.0
0,0,,1996.0
1,100,1.0,1996.0
2,200,,
3,300,,1996.0
4,400,1.0,1996.0
5,500,1.0,1996.0
6,600,1.0,1996.0
7,700,0.9090909090909092,1996.0
8,800,,
9,900,,1996.0
10,1000,0.7619047619047619,1996.0
11,1100,0.6363636363636364,1843.0
12,1200,0.4166666666666667,1996.0
13,1300,0.3,1843.0
14,1400,,
15,1500,,1747.0
16,1600,0.08333333333333333,1996.0
17,1700,0.08333333333333333,1996.0
18,1800,,
19,1900,,825.0
20,2000,0.25,1996.0
21,2100,,
22,2200,,825.0
23,2300,0.08333333333333333,1996.0
24,2400,0.0,1996.0
25,2500,0.1,1996.0
26,2600,0.0,1843.0
27,2700,0.18181818181818185,1843.0
28,2800,0.1,1747.0
29,2900,0.25,1843.0
30,3000,,
31,3100,,1996.0
32,3200,0.08333333333333333,1996.0
33,3300,0.18181818181818185,1996.0
34,3400,0.09090909090909093,1536.0
35,3500,0.2222222222222222,1536.0
36,3600,,
37,3700,,1747.0
38,3800,0.07142857142857142,1363.0
39,3900,0.2727272727272727,1747.0
40,4000,,
41,4100,,979.0
42,4200,0.1,825.0
43,4300,0.25,1996.0
44,4400,,
45,4500,,1996.0
46,4600,0.09090909090909093,1536.0
47,4700,0.1111111111111111,825.0
48,4800,0.1111111111111111,1996.0
49,4900,0.16666666666666666,1536.0
50,5000,0.18181818181818185,1996.0
51,5100,0.0,825.0
52,5200,0.15384615384615385,1747.0
53,5300,0.1,1996.0
54,5400,,
55,5500,,1747.0
56,5600,0.2307692307692308,1996.0
57,5700,0.07692307692307693,1132.0
58,5800,,
59,5900,,1996.0
60,6000,0.18181818181818185,1747.0
61,6100,0.4,1843.0
62,6200,,
63,6300,,1747.0
64,6400,0.09090909090909093,1996.0
65,6500,0.3636363636363637,825.0
66,6600,0.2727272727272727,1363.0
67,6700,0.1,1996.0
68,6800,0.1,1996.0
69,6900,,
70,7000,,1410.5
71,7100,0.2222222222222222,1996.0
72,7200,0.1111111111111111,1747.0
73,7300,,
74,7400,,1996.0
75,7500,0.0,1996.0
76,7600,0.16666666666666666,1996.0
77,7700,0.1,1363.0
78,7800,0.2307692307692308,1747.0
79,7900,0.1111111111111111,1747.0
80,8000,0.3,825.0
0,0,,1996.0
1,100,0.8666666666666667,1996.0
2,200,,
3,300,,1996.0
4,400,0.9411764705882352,1996.0
5,500,1.0,1996.0
6,600,,
7,700,,1996.0
8,800,1.0,1996.0
9,900,,
10,1000,,1996.0
11,1100,0.8095238095238095,1996.0
12,1200,0.4545454545454545,1996.0
13,1300,0.3636363636363637,1996.0
14,1400,0.2307692307692308,1536.0
15,1500,0.2222222222222222,1843.0
16,1600,,
17,1700,,1996.0
18,1800,0.2307692307692308,1536.0
19,1900,0.07692307692307693,1996.0
20,2000,,
21,2100,,1996.0
22,2200,0.2631578947368421,1363.0
23,2300,0.08333333333333333,1996.0
24,2400,,
25,2500,,1132.0
26,2600,0.09090909090909093,825.0
27,2700,0.18181818181818185,1996.0
28,2800,0.2727272727272727,1747.0
29,2900,0.1111111111111111,1747.0
30,3000,0.0,1996.0
31,3100,,
32,3200,,825.0
33,3300,0.1111111111111111,1996.0
34,3400,0.4166666666666667,1996.0
35,3500,0.08333333333333333,1843.0
36,3600,0.0,1996.0
37,3700,0.3,1536.0
38,3800,0.2222222222222222,1996.0
39,3900,,
40,4000,,1919.5
41,4100,,
42,4200,,1996.0
43,4300,0.07142857142857142,1996.0
44,4400,0.125,1363.0
45,4500,0.1,1843.0
46,4600,0.2222222222222222,1747.0
47,4700,0.2,1363.0
48,4800,0.3,1996.0
49,4900,0.09090909090909093,1363.0
50,5000,,
51,5100,,1996.0
52,5200,0.2,1536.0
53,5300,0.15384615384615385,1843.0
54,5400,0.0,1747.0
55,5500,0.1111111111111111,1747.0
56,5600,0.1,1363.0
57,5700,0.16666666666666666,825.0
58,5800,,
59,5900,,1996.0
60,6000,0.2307692307692308,1536.0
61,6100,0.2222222222222222,1996.0
62,6200,0.09090909090909093,1996.0
63,6300,0.0,1536.0
64,6400,0.2222222222222222,1996.0
65,6500,,
66,6600,,1536.0
67,6700,0.08333333333333333,825.0
68,6800,0.4,825.0
69,6900,0.0,1536.0
70,7000,0.09090909090909093,825.0
71,7100,0.1,1996.0
72,7200,0.1111111111111111,1363.0
73,7300,0.0,1747.0
74,7400,0.09090909090909093,1536.0
75,7500,0.0,1363.0
76,7600,,
77,7700,,1996.0
78,7800,0.15384615384615385,1996.0
79,7900,0.09090909090909093,1996.0
80,8000,0.18181818181818185,1747.0
0,0,,1996.0
1,100,1.0,1996.0
2,200,0.9333333333333332,1996.0
3,300,,
4,400,,1996.0
5,500,1.0,1996.0
6,600,1.0,1996.0
7,700,0.9230769230769232,1996.0
8,800,,
9,900,,1996.0
10,1000,,
11,1100,,1996.0
12,1200,0.4444444444444444,1996.0
13,1300,0.3333333333333333,1996.0
14,1400,0.1,1996.0
15,1500,0.1,1996.0
16,1600,0.0,1747.0
17,1700,0.18181818181818185,1536.0
18,1800,0.125,1363.0
19,1900,0.2307692307692308,1132.0
20,2000,,
21,2100,,1747.0
22,2200,0.35,1536.0
23,2300,0.2,1996.0
24,2400,0.2,1132.0
25,2500,0.3,1536.0
26,2600,0.09090909090909093,979.0
27,2700,,
28,2800,,1363.0
29,2900,,
30,3000,,1363.0
31,3100,0.08333333333333333,825.0
32,3200,,
33,3300,,1363.0
34,3400,0.08333333333333333,1747.0
35,3500,0.09090909090909093,1843.0
36,3600,0.0,1996.0
37,3700,0.2857142857142857,1843.0
38,3800,0.125,1363.0
39,3900,0.1,979.0
40,4000,,
41,4100,,1996.0
42,4200,,
43,4300,,825.0
44,4400,0.1,979.0
45,4500,0.07692307692307693,979.0
46,4600,0.1111111111111111,1747.0
47,4700,,
48,4800,,1996.0
49,4900,0.16666666666666666,1996.0
50,5000,0.16666666666666666,1919.5
51,5100,,
52,5200,,1747.0
53,5300,0.1,1996.0
54,5400,0.16666666666666666,1996.0
55,5500,0.2222222222222222,1996.0
56,5600,0.0,825.0
57,5700,0.2,1996.0
58,5800,0.18181818181818185,1996.0
59,5900,0.0,1536.0
60,6000,0.18181818181818185,1996.0
61,6100,0.0,1996.0
62,6200,,
63,6300,,825.0
64,6400,0.3333333333333333,1843.0
65,6500,0.1851851851851852,1996.0
66,6600,0.1111111111111111,1747.0
67,6700,,
68,6800,,825.0
69,6900,0.18181818181818185,1536.0
70,7000,0.1,1996.0
71,7100,0.18181818181818185,1536.0
72,7200,0.1111111111111111,825.0
73,7300,0.21428571428571427,1536.0
74,7400,,
75,7500,,1536.0
76,7600,0.16666666666666666,1996.0
77,7700,0.2,979.0
78,7800,0.18181818181818185,825.0
0,0,,1996.0
1,100,1.0,1996.0
2,200,0.8461538461538461,1996.0
3,300,,
4,400,,1996.0
5,500,1.0,1996.0
6,600,1.0,1996.0
7,700,,
8,800,,1996.0
9,900,0.9285714285714286,1996.0
10,1000,0.9285714285714286,1747.0
11,1100,0.3,1996.0
12,1200,0.6666666666666666,1363.0
13,1300,,
14,1400,,1363.0
15,1500,0.21052631578947367,1536.0
16,1600,,
17,1700,,1747.0
18,1800,0.07142857142857142,1996.0
19,1900,0.14285714285714285,1363.0
20,2000,0.125,1747.0
21,2100,0.1,1536.0
22,2200,0.1111111111111111,1996.0
23,2300,,
24,2400,,825.0
25,2500,0.05882352941176471,1843.0
26,2600,0.1111111111111111,979.0
27,2700,,
28,2800,,1747.0
29,2900,0.2727272727272727,1747.0
30,3000,0.09090909090909093,825.0
31,3100,0.09090909090909093,1536.0
32,3200,0.21428571428571427,1996.0
33,3300,0.1111111111111111,1132.0
34,3400,,
35,3500,,1996.0
36,3600,0.1176470588235294,825.0
37,3700,0.14285714285714285,825.0
38,3800,0.09090909090909093,1363.0
39,3900,0.2727272727272727,1843.0
40,4000,,
41,4100,,1536.0
42,4200,0.09090909090909093,1536.0
43,4300,0.07142857142857142,825.0
44,4400,0.3076923076923077,1363.0
45,4500,0.0,1996.0
46,4600,0.16666666666666666,1996.0
47,4700,0.1111111111111111,1996.0
48,4800,0.0,1363.0
49,4900,,
50,5000,,1996.0
51,5100,0.12903225806451613,1747.0
52,5200,,
53,5300,,1536.0
54,5400,0.1,1843.0
55,5500,0.2857142857142857,1747.0
56,5600,0.25,1363.0
57,5700,0.0,1536.0
58,5800,,
59,5900,,1747.0
60,6000,0.08333333333333333,1536.0
61,6100,0.1,1363.0
62,6200,0.08333333333333333,1843.0
63,6300,0.18181818181818185,1996.0
64,6400,,
65,6500,,1843.0
66,6600,0.25,825.0
67,6700,0.1176470588235294,1747.0
68,6800,0.09090909090909093,1536.0
69,6900,,
70,7000,,1536.0
71,7100,0.0,825.0
72,7200,0.09090909090909093,1996.0
73,7300,0.2,1747.0
74,7400,0.2,1996.0
75,7500,0.25,825.0
76,7600,,
77,7700,,1996.0
78,7800,0.1111111111111111,1996.0
79,7900,0.09090909090909093,825.0
0,0,,1996.0
1,100,1.0,1996.0
2,200,1.0,1996.0
3,300,,
4,400,,1996.0
5,500,1.0,1996.0
6,600,0.9411764705882352,1996.0
7,700,,
8,800,,1996.0
9,900,1.0,1996.0
10,1000,,
11,1100,,1536.0
12,1200,0.5,1132.0
13,1300,0.125,1996.0
14,1400,0.16666666666666666,1747.0
15,1500,0.09090909090909093,1996.0
16,1600,,
17,1700,,1996.0
18,1800,0.18181818181818185,1996.0
19,1900,0.1111111111111111,825.0
20,2000,0.2857142857142857,1747.0
21,2100,0.0,1996.0
22,2200,0.2222222222222222,1996.0
23,2300,0.1111111111111111,1996.0
24,2400,0.2,1996.0
25,2500,,
26,2600,,1363.0
27,2700,,
28,2800,,1996.0
29,2900,0.2,825.0
30,3000,0.3333333333333333,1363.0
31,3100,0.0,1536.0
32,3200,0.2,825.0
33,3300,0.18181818181818185,825.0
34,3400,0.1111111111111111,1363.0
35,3500,0.3333333333333333,1747.0
36,3600,0.0,1747.0
37,3700,,
38,3800,,1996.0
39,3900,0.13636363636363635,1843.0
40,4000,0.15384615384615385,1843.0
41,4100,0.09090909090909093,1747.0
42,4200,,
43,4300,,1996.0
44,4400,0.3,1747.0
45,4500,0.16666666666666666,1996.0
46,4600,0.18181818181818185,1996.0
47,4700,0.1,825.0
48,4800,0.0,1843.0
49,4900,0.2222222222222222,1843.0
50,5000,0.18181818181818185,1747.0
51,5100,0.21428571428571427,1843.0
52,5200,,
53,5300,,1996.0
54,5400,0.15384615384615385,1363.0
55,5500,0.08333333333333333,1996.0
56,5600,0.0,1747.0
57,5700,0.14285714285714285,1747.0
58,5800,,
59,5900,,1996.0
60,6000,0.125,979.0
61,6100,0.2727272727272727,1536.0
62,6200,0.15384615384615385,979.0
63,6300,0.1111111111111111,1996.0
64,6400,0.3,1747.0
65,6500,0.21428571428571427,1363.0
66,6600,0.2222222222222222,1996.0
67,6700,,
68,6800,,1996.0
69,6900,0.10526315789473684,1996.0
70,7000,0.2857142857142857,1996.0
71,7100,0.09090909090909093,1996.0
72,7200,0.3,1536.0
73,7300,0.2,1996.0
74,7400,0.125,1996.0
75,7500,0.2,1747.0
76,7600,0.1,1132.0
77,7700,0.25,1996.0
78,7800,,
79,7900,,979.0
80,8000,0.0,1843.0
0,0,,1996.0
1,100,1.0,1996.0
2,200,1.0,1996.0
3,300,1.0,1996.0
4,400,1.0,1996.0
5,500,,
6,600,,1996.0
7,700,1.0,1996.0
8,800,,
9,900,,1996.0
10,1000,0.9444444444444444,1996.0
11,1100,0.3333333333333333,1996.0
12,1200,0.2727272727272727,1996.0
13,1300,0.2727272727272727,1996.0
14,1400,0.1,1996.0
15,1500,0.0,825.0
16,1600,,
17,1700,,1747.0
18,1800,0.18181818181818185,1363.0
19,1900,0.1,1996.0
20,2000,0.25,1996.0
21,2100,0.18181818181818185,1536.0
22,2200,0.15384615384615385,1996.0
23,2300,0.18181818181818185,825.0
24,2400,0.18181818181818185,1996.0
25,2500,0.0,1996.0
26,2600,,
27,2700,,1747.0
28,2800,0.07692307692307693,1996.0
29,2900,0.2222222222222222,1536.0
30,3000,0.16666666666666666,1996.0
31,3100,0.18181818181818185,1747.0
32,3200,,
33,3300,,1843.0
34,3400,0.15384615384615385,1843.0
35,3500,0.3636363636363637,1996.0
36,3600,0.2222222222222222,1747.0
37,3700,0.2307692307692308,1996.0
38,3800,0.18181818181818185,1363.0
39,3900,0.0,1996.0
40,4000,0.3,1996.0
41,4100,0.3333333333333333,1996.0
42,4200,0.0,1996.0
43,4300,,
44,4400,,1996.0
45,4500,0.25,1132.0
46,4600,0.2,1843.0
47,4700,0.09090909090909093,1747.0
48,4800,0.2727272727272727,1363.0
49,4900,0.07692307692307693,1996.0
50,5000,,
51,5100,,
52,5200,,
53,5300,,
54,5400,,
55,5500,,
56,5600,,
57,5700,,
58,5800,,
59,5900,,
60,6000,,
61,6100,,
62,6200,,
63,6300,,
64,6400,,
65,6500,,
66,6600,,
67,6700,,
68,6800,,
69,6900,,
70,7000,,
71,7100,,
72,7200,,
73,7300,,
74,7400,,
75,7500,,
76,7600,,
77,7700,,
78,7800,,
79,7900,,
80,8000,,
81,8100,,
82,8200,,
83,8300,,
84,8400,,
85,8500,,
86,8600,,825.0
87,8700,,
88,8800,,1996.0
0,0,,1996.0
1,100,0.9444444444444444,1996.0
2,200,0.9,1996.0
3,300,,
4,400,,1996.0
5,500,1.0,1996.0
6,600,0.9090909090909092,1996.0
7,700,,
8,800,,1996.0
9,900,1.0,1996.0
10,1000,0.9333333333333332,1132.0
11,1100,0.2727272727272727,1996.0
12,1200,,
13,1300,,1747.0
14,1400,0.18181818181818185,1996.0
15,1500,0.2222222222222222,1536.0
16,1600,0.18181818181818185,1536.0
17,1700,0.16666666666666666,1996.0
18,1800,,
19,1900,,
20,2000,,
21,2100,,1996.0
22,2200,0.05128205128205128,1843.0
23,2300,0.38461538461538464,1132.0
24,2400,0.2,1996.0
25,2500,,
26,2600,,825.0
27,2700,0.15384615384615385,1996.0
28,2800,0.16666666666666666,1996.0
29,2900,0.1111111111111111,1996.0
30,3000,0.2,1363.0
31,3100,0.2727272727272727,1996.0
32,3200,0.0,825.0
33,3300,0.2727272727272727,1996.0
34,3400,0.0,1996.0
35,3500,0.18181818181818185,979.0
36,3600,0.0,1996.0
37,3700,0.18181818181818185,1996.0
38,3800,,
39,3900,,979.0
40,4000,0.25,1747.0
41,4100,0.0,1747.0
42,4200,0.25,825.0
43,4300,,
44,4400,,1536.0
45,4500,0.18181818181818185,1363.0
46,4600,0.1,1996.0
47,4700,0.0,1996.0
48,4800,0.3,1747.0
49,4900,0.2307692307692308,1996.0
50,5000,0.18181818181818185,1843.0
51,5100,,
52,5200,,1843.0
53,5300,0.15384615384615385,1996.0
54,5400,0.1,1363.0
55,5500,0.1,1747.0
56,5600,0.2,1996.0
57,5700,0.1,1996.0
58,5800,,
59,5900,,1843.0
60,6000,0.0,1536.0
61,6100,0.0,825.0
62,6200,0.3,1996.0
63,6300,0.1111111111111111,1363.0
64,6400,0.3,1747.0
65,6500,0.3,1996.0
66,6600,0.2222222222222222,1536.0
67,6700,0.09090909090909093,1996.0
68,6800,0.3333333333333333,1996.0
69,6900,0.2,1996.0
70,7000,0.2727272727272727,1747.0
71,7100,0.1,1996.0
72,7200,0.15384615384615385,1132.0
73,7300,0.2,1132.0
74,7400,0.2,1363.0
75,7500,0.2727272727272727,1996.0
76,7600,,
77,7700,,1536.0
78,7800,0.0,1363.0
79,7900,0.25,1996.0
80,8000,0.2222222222222222,825.0
0,0,,1996.0
1,100,1.0,1996.0
2,200,1.0,1996.0
3,300,1.0,1996.0
4,400,0.9166666666666666,1996.0
5,500,,
6,600,,1996.0
7,700,,
8,800,,1996.0
9,900,1.0,1996.0
10,1000,0.9333333333333332,1996.0
11,1100,0.7,1132.0
12,1200,,
13,1300,,1996.0
14,1400,0.2857142857142857,825.0
15,1500,0.09090909090909093,1996.0
16,1600,0.18181818181818185,1747.0
17,1700,,
18,1800,,1363.0
19,1900,0.09090909090909093,1536.0
20,2000,,
21,2100,,1536.0
22,2200,0.2,1843.0
23,2300,0.18181818181818185,1363.0
24,2400,0.07692307692307693,1843.0
25,2500,0.1,1996.0
26,2600,0.09090909090909093,1363.0
27,2700,0.1,1363.0
28,2800,0.18181818181818185,1996.0
29,2900,,
30,3000,,
31,3100,,979.0
32,3200,0.3333333333333333,1536.0
33,3300,0.1,1996.0
34,3400,0.1,1843.0
35,3500,0.4444444444444444,825.0
36,3600,0.15384615384615385,825.0
37,3700,0.0,1363.0
38,3800,0.09090909090909093,1996.0
39,3900,,
40,4000,,1747.0
41,4100,0.05263157894736842,1996.0
42,4200,0.15384615384615385,1996.0
43,4300,,
44,4400,,1747.0
45,4500,0.25,1536.0
46,4600,0.1111111111111111,1996.0
47,4700,0.08333333333333333,1363.0
48,4800,0.21428571428571427,1747.0
49,4900,0.2222222222222222,1132.0
50,5000,0.2,1536.0
51,5100,0.2,1996.0
52,5200,0.0,825.0
53,5300,0.2222222222222222,1843.0
54,5400,,
55,5500,,1996.0
56,5600,0.18181818181818185,1996.0
57,5700,0.08333333333333333,1363.0
58,5800,0.1111111111111111,1536.0
59,5900,0.1111111111111111,1536.0
60,6000,,
61,6100,,1286.0
62,6200,,
63,6300,,1919.5
64,6400,,
65,6500,,1996.0
66,6600,0.16666666666666666,825.0
67,6700,0.0,1843.0
68,6800,0.125,1747.0
69,6900,0.18181818181818185,1843.0
70,7000,0.0,1536.0
71,7100,,
72,7200,,1747.0
73,7300,0.2,1996.0
74,7400,0.0,1996.0
75,7500,0.2727272727272727,825.0
76,7600,0.09090909090909093,979.0
77,7700,,
78,7800,,1996.0
79,7900,0.07142857142857142,1536.0
80,8000,0.08333333333333333,1536.0
0,0,,1747.0
1,100,0.9230769230769232,1996.0
2,200,,
3,300,,1996.0
4,400,1.0,1996.0
5,500,0.9285714285714286,1996.0
6,600,,
7,700,,1996.0
8,800,0.7142857142857143,1996.0
9,900,1.0,1996.0
10,1000,0.6923076923076923,1996.0
11,1100,0.4,1363.0
12,1200,0.25,1536.0
13,1300,0.125,1747.0
14,1400,0.1,1536.0
15,1500,0.09090909090909093,1996.0
16,1600,0.25,825.0
17,1700,0.18181818181818185,1996.0
18,1800,,
19,1900,,1996.0
20,2000,0.3636363636363637,1747.0
21,2100,0.08333333333333333,1747.0
22,2200,0.1,1996.0
23,2300,0.2222222222222222,1747.0
24,2400,0.1111111111111111,1996.0
25,2500,0.2222222222222222,1996.0
26,2600,0.16666666666666666,979.0
27,2700,0.0,1996.0
28,2800,,
29,2900,,1996.0
30,3000,0.07142857142857142,1843.0
31,3100,0.1111111111111111,1843.0
32,3200,0.08333333333333333,1747.0
33,3300,0.1111111111111111,1843.0
34,3400,0.1111111111111111,1363.0
35,3500,0.16666666666666666,1996.0
36,3600,0.0,1843.0
37,3700,0.18181818181818185,1363.0
